usd_cleaning_fee,f_room_type,f_property_type,f_room_type2,f_property_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,n_accommodates2,f_bathroom,f_number_of_reviews,n_days_since2,n_days_since3,f_minimum_nights,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type,d_elevator,d_familykidfriendly,d_freeparkingonpremises,d_gym,d_hottub,d_petsallowed,d_pool,d_privatebathroom,d_privateentrance,d_selfcheckin,d_smokingallowed,d_tv,d_wheelchairaccessible,d_24hourcheckin,d_airconditioning,d_bathtub,d_breakfast,d_cleaningbeforecheckout,d_coffeemaker,d_dishwasher,city
0,Private room,Apartment,Private,Apartment,flexible,Real Bed,Clifton,65,100,4,2.5,99,142,1,1.39,35,1,1,3062,16,2,2,9375844,28708834328,1,65,Clifton,flexible,Private room,Apartment,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,Bristol
25,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Bedminster,59,100,2,1,95,87,2,0.88,10,2,1,2967,4,1,2,8803089,26118765063,2,59,Bedminster,moderate,Entire home/apt,Apartment,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,Bristol
20,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Ashley,98,100,5,1,98,247,2,2.68,20,2,3,2761,25,1,2,7623121,21047437081,2,98,Ashley,moderate,Entire home/apt,Apartment,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,Bristol
27,Private room,Apartment,Private,Apartment,moderate,Real Bed,Ashley,28,100,2,1,98,136,1,1.52,10,1,2,2677,4,1,2,7166329,19184262733,1,28,Ashley,moderate,Private room,Apartment,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Bristol
0,Private room,Apartment,Private,Apartment,flexible,Real Bed,Lawrence Hill,40,93,2,1,99,170,1,1.89,10,1,1,2698,4,1,2,7279204,19639292392,1,40,Lawrence Hill,flexible,Private room,Apartment,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Bristol
10,Private room,Apartment,Private,Apartment,strict,Real Bed,Windmill Hill,30,69,2,1,92,482,1,5.57,10,1,1,2593,4,1,NA,6723649,17434421857,1,30,Windmill Hill,strict,Private room,Apartment,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Bristol
35,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Clifton,95,100,4,1,97,350,2,4.1,10,2,1,2562,16,1,2,6563844,16816568328,2,95,Clifton,moderate,Entire home/apt,Apartment,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,Bristol
0,Entire home/apt,Apartment,Entire/Apt,Apartment,flexible,Real Bed,Ashley,110,100,2,1,88,44,2,0.57,10,3,1,2317,4,1,1,5368489,12438789013,3,110,Ashley,flexible,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Bristol
0,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Ashley,100,100,2,1,93,38,1,0.51,0,3,1,2254,4,1,1,5080516,11451483064,3,100,Ashley,strict,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bristol
0,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Ashley,100,100,2,1,88,40,1,0.53,10,3,1,2257,4,1,1,5094049,11497268593,3,100,Ashley,strict,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,Bristol
5,Shared room,Apartment,Shared,Apartment,strict,Couch,Clifton Down,25,71,2,1,91,24,1,0.42,8,2,2,1726,4,1,1,2979076,5141885176,2,25,Clifton Down,strict,Shared room,Apartment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bristol
10,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Cotham,70,100,2,1,99,35,2,0.88,35,2,1,1194,4,1,1,1425636,1702209384,2,70,Cotham,moderate,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Bristol
10,Private room,Apartment,Private,Apartment,strict,Real Bed,Cotham,34,100,2,1,98,187,1,2.68,8,1,1,2096,4,1,2,4393216,9208180736,1,34,Cotham,strict,Private room,Apartment,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Bristol
0,Private room,Apartment,Private,Apartment,flexible,Real Bed,Ashley,64,100,2,1.5,95,158,1,2.23,15,14,1,2121,4,1,2,4498641,9541617561,3,64,Ashley,flexible,Private room,Apartment,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bristol
50,Entire home/apt,Loft,Entire/Apt,Loft,strict,Real Bed,Lawrence Hill,107,100,6,1,98,78,4,1.13,35,1,2,2075,36,1,2,4305625,8934171875,1,107,Lawrence Hill,strict,Entire home/apt,Loft,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,Bristol
0,Private room,Apartment,Private,Apartment,flexible,Real Bed,Clifton,45,100,2,1,86,16,1,0.6,0,1,2,795,4,1,1,632025,502459875,1,45,Clifton,flexible,Private room,Apartment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bristol
0,Private room,Apartment,Private,Apartment,flexible,Real Bed,Clifton,32,100,1,1,96,105,1,1.57,0,1,1,2005,1,1,2,4020025,8060150125,1,32,Clifton,flexible,Private room,Apartment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bristol
8,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Hotwells & Harbourside,140,100,4,2,96,12,4,0.18,30,1,2,2005,16,2,1,4020025,8060150125,1,140,Hotwells & Harbourside,moderate,Entire home/apt,Apartment,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bristol
25,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Ashley,45,100,2,1,96,57,1,0.85,5,3,1,2002,4,1,2,4008004,8024024008,3,45,Ashley,moderate,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bristol
5,Private room,Apartment,Private,Apartment,moderate,Real Bed,Clifton,29,100,1,1,97,282,1,4.22,0,2,1,2006,1,1,2,4024036,8072216216,2,29,Clifton,moderate,Private room,Apartment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bristol
35,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Clifton Down,100,100,2,1,97,140,2,2.13,0,2,1,1970,4,1,2,3880900,7645373000,2,100,Clifton Down,strict,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Bristol
0,Private room,Apartment,Private,Apartment,moderate,Real Bed,Redland,45,100,1,1,93,43,1,0.65,12,30,1,1984,1,1,1,3936256,7809531904,3,45,Redland,moderate,Private room,Apartment,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,Bristol
30,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Cotham,100,NA,5,1,100,6,4,0.1,0,3,3,1837,25,1,1,3374569,6199083253,3,100,Cotham,moderate,Entire home/apt,Apartment,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,Bristol
30,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Clifton,350,100,6,2,99,17,1,0.54,0,2,3,949,36,2,1,900601,854670349,2,350,Clifton,strict,Entire home/apt,Apartment,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Bristol
20,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Hotwells & Harbourside,65,100,2,1,98,340,1,5.27,0,2,1,1935,4,1,2,3744225,7245075375,2,65,Hotwells & Harbourside,moderate,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Bristol
0,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Clifton Down,80,100,2,1,96,67,2,1.06,0,4,1,1897,4,1,2,3598609,6826561273,3,80,Clifton Down,moderate,Entire home/apt,Apartment,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,Bristol
0,Private room,Apartment,Private,Apartment,flexible,Real Bed,Eastville,32,NA,2,1,97,48,1,0.75,5,1,1,1929,4,1,1,3721041,7177888089,1,32,Eastville,flexible,Private room,Apartment,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Bristol
50,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Redland,150,100,4,1,96,12,1,0.19,15,5,2,1886,16,1,1,3556996,6708494456,3,150,Redland,moderate,Entire home/apt,Apartment,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bristol
45,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Hotwells & Harbourside,225,100,4,2.5,94,33,1,0.53,0,2,2,1852,16,2,1,3429904,6352182208,2,225,Hotwells & Harbourside,strict,Entire home/apt,Apartment,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,Bristol
10,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Clifton,86,100,2,1,99,317,2,5.03,0,4,1,1888,4,1,2,3564544,6729859072,3,86,Clifton,strict,Entire home/apt,Apartment,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bristol
0,Private room,Apartment,Private,Apartment,moderate,Real Bed,Southville,37,100,2,1,98,153,1,3.37,5,2,1,1361,4,1,2,1852321,2521008881,2,37,Southville,moderate,Private room,Apartment,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bristol
25,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Ashley,35,NA,4,1,86,7,2,0.12,10,2,1,1817,16,1,1,3301489,5998805513,2,35,Ashley,strict,Entire home/apt,Apartment,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Bristol
30,Entire home/apt,Apartment,Entire/Apt,Apartment,flexible,Real Bed,Clifton Down,35,NA,4,1,93.62421524663677,6,1,0.1,0,1,1,1799,16,1,1,3236401,5822285399,1,35,Clifton Down,flexible,Entire home/apt,Apartment,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bristol
10,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Brislington East,65,NA,2,1,91,107,2,1.82,25,2,1,1764,4,1,2,3111696,5489031744,2,65,Brislington East,strict,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Bristol
0,Private room,Loft,Private,Loft,flexible,Real Bed,Horfield,35,100,1,1,94,42,1,0.69,0,1,1,1825,1,1,1,3330625,6078390625,1,35,Horfield,flexible,Private room,Loft,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Bristol
30,Private room,Apartment,Private,Apartment,moderate,Real Bed,Ashley,55,90,1,1,96,28,1,0.52,0,3,1,1608,1,1,1,2585664,4157747712,3,55,Ashley,moderate,Private room,Apartment,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bristol
37,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Horfield,109,90,6,1,98,89,4,1.47,20,2,3,1816,36,1,2,3297856,5988906496,2,109,Horfield,strict,Entire home/apt,Apartment,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Bristol
0,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Central,60,70,4,1,91,97,1,1.6,20,2,1,1816,16,1,2,3297856,5988906496,2,60,Central,strict,Entire home/apt,Apartment,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bristol
20,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Ashley,58,NA,2,1,85,4,2,0.07,10,60,1,1717,4,1,1,2948089,5061868813,3,58,Ashley,strict,Entire home/apt,Apartment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bristol
0,Private room,Apartment,Private,Apartment,moderate,Real Bed,Central,55,NA,4,1,91,11,2,0.2,10,2,1,1641,16,1,1,2692881,4419017721,2,55,Central,moderate,Private room,Apartment,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Bristol
0,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Stoke Bishop,45,100,2,1,100,21,1,0.41,0,1,1,1520,4,1,1,2310400,3511808000,1,45,Stoke Bishop,moderate,Entire home/apt,Apartment,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bristol
60,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Stoke Bishop,125,100,4,2.5,98,97,4,1.65,0,2,2,1767,16,2,2,3122289,5517084663,2,125,Stoke Bishop,moderate,Entire home/apt,Apartment,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,Bristol
0,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Ashley,50,88,2,1,94,52,2,1.17,0,56,2,1330,4,1,2,1768900,2352637000,3,50,Ashley,moderate,Entire home/apt,Apartment,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,Bristol
0,Entire home/apt,Apartment,Entire/Apt,Apartment,flexible,Real Bed,Central,100,100,2,1,93.62421524663677,0,1,NA,0,2,1,NA,4,1,0,NA,NA,2,100,Central,flexible,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bristol
15,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Redland,73,100,2,1,98,102,2,2.53,10,1,1,1208,4,1,2,1459264,1762790912,1,73,Redland,moderate,Entire home/apt,Apartment,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,Bristol
20,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Clifton Down,72,100,2,1,97,335,1,5.87,0,2,1,1712,4,1,2,2930944,5017776128,2,72,Clifton Down,moderate,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,Bristol
35,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Clifton Down,80,100,4,1,97,269,2,4.85,20,2,2,1662,16,1,2,2762244,4590849528,2,80,Clifton Down,moderate,Entire home/apt,Apartment,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,Bristol
30,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Hotwells & Harbourside,109,NA,4,2,100,3,1,0.06,0,2,1,1494,16,2,1,2232036,3334661784,2,109,Hotwells & Harbourside,strict,Entire home/apt,Apartment,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Bristol
16,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Windmill Hill,50,100,2,1,92,241,2,4.3,5,2,2,1682,4,1,2,2829124,4758586568,2,50,Windmill Hill,strict,Entire home/apt,Apartment,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,Bristol
