usd_cleaning_fee,f_room_type,f_property_type,f_room_type2,f_property_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,n_accommodates2,f_bathroom,f_number_of_reviews,n_days_since2,n_days_since3,f_minimum_nights,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type,d_elevator,d_familykidfriendly,d_freeparkingonpremises,d_gym,d_hottub,d_petsallowed,d_pool,d_privatebathroom,d_privateentrance,d_selfcheckin,d_smokingallowed,d_tv,d_wheelchairaccessible,d_24hourcheckin,d_airconditioning,d_bathtub,d_breakfast,d_cleaningbeforecheckout,d_coffeemaker,d_dishwasher,city
0,Private room,Apartment,Private,Apartment,strict,Real Bed,City Centre,60,100,2,1.5,98,419,2,4.03,0,2,1,3120,4,1,2,9734400,30371328000,2,60,City Centre,strict,Private room,Apartment,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Manchester
20,Entire home/apt,Loft,Entire/Apt,Loft,moderate,Real Bed,Salford District,34,100,3,1,98,93,1,0.98,14,2,2,2833,9,1,2,8025889,22737343537,2,34,Salford District,moderate,Entire home/apt,Loft,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,Manchester
0,Private room,Apartment,Private,Apartment,flexible,Real Bed,Ancoats and Clayton,37,NA,1,1,93,64,1,0.67,0,180,1,2846,1,1,2,8099716,23051791736,3,37,Ancoats and Clayton,flexible,Private room,Apartment,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Manchester
6,Private room,Apartment,Private,Apartment,moderate,Real Bed,City Centre,48,100,2,1,97,321,2,3.69,16,2,1,2612,4,1,2,6822544,17820484928,2,48,City Centre,moderate,Private room,Apartment,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Manchester
50,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Hulme,150,100,6,1,96,201,4,2.17,15,2,3,2778,36,1,2,7717284,21438614952,2,150,Hulme,moderate,Entire home/apt,Apartment,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,Manchester
0,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Trafford District,58,100,2,1,99,260,1,2.93,10,2,1,2660,4,1,2,7075600,18821096000,2,58,Trafford District,moderate,Entire home/apt,Apartment,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,Manchester
60,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Ancoats and Clayton,49,100,4,2,97,13,1,1.65,20,2,2,236,16,2,1,55696,13144256,2,49,Ancoats and Clayton,strict,Entire home/apt,Apartment,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Manchester
11,Private room,Apartment,Private,Apartment,moderate,Real Bed,Ancoats and Clayton,36,94,2,1,97,143,1,3.63,0,2,1,1182,4,1,2,1397124,1651400568,2,36,Ancoats and Clayton,moderate,Private room,Apartment,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,Manchester
0,Private room,Loft,Private,Loft,moderate,Real Bed,City Centre,53,100,2,1.5,98,227,1,2.58,20,2,1,2637,4,1,2,6953769,18337088853,2,53,City Centre,moderate,Private room,Loft,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,Manchester
20,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Ancoats and Clayton,85,100,4,2,93,206,4,2.59,0,1,2,2385,16,2,2,5688225,13566416625,1,85,Ancoats and Clayton,strict,Entire home/apt,Apartment,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,Manchester
