"","id","scrape_id","host_id","host_name","host_since","host_response_rate","host_acceptance_rate","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","street","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","country_code","country","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","square_feet","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","calendar_updated","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","requires_license","license","jurisdiction_names","instant_bookable","is_business_travel_ready","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month"
"1",70820,20191121092348,360195,"Sarah",2011-01-24,"100%","N/A",FALSE,NA,5,5,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id', 'work_email']",TRUE,TRUE,"Bristol, England, United Kingdom",NA,"Windmill Hill",NA,"Bristol","England","BS3 4","Bristol","Bristol, United Kingdom","GB","United Kingdom",51.43994,-2.59173,TRUE,"Townhouse","Private room",2,1,1,1,"Real Bed","{TV,Internet,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",Essentials,Hangers,""Hair dryer"",Iron,""Self check-in"",Lockbox,""Hot water"",Refrigerator,Oven,Stove}",NA,"$29.00",NA,NA,"$0.00","$5.00",1,"$10.00",7,28,7,7,28,28,7,28,"2 weeks ago",TRUE,22,41,71,71,2019-11-21,147,17,2013-10-18,2019-10-11,95,10,9,10,10,10,10,FALSE,NA,NA,FALSE,FALSE,"strict_14_with_grace_period",TRUE,FALSE,5,0,5,0,1.98
"2",117122,20191121092348,591555,"Marcus",2011-05-15,"100%","N/A",TRUE,NA,1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']",TRUE,FALSE,"Bristol, England, United Kingdom",NA,"Clifton",NA,"Bristol","England","BS8 4UJ","Bristol","Bristol, United Kingdom","GB","United Kingdom",51.45051,-2.61054,TRUE,"Apartment","Private room",4,2.5,1,1,"Real Bed","{TV,""Cable TV"",Internet,Wifi,""Wheelchair accessible"",Kitchen,""Free parking on premises"",Gym,Breakfast,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Host greets you""}",144,"$65.00","$400.00","$1,300.00","$0.00","$0.00",1,"$35.00",1,28,1,1,28,28,1,28,"4 days ago",TRUE,9,39,69,344,2019-11-21,142,16,2011-07-04,2019-11-03,99,10,10,10,10,10,10,FALSE,NA,NA,FALSE,FALSE,"flexible",FALSE,FALSE,1,0,1,0,1.39
"3",146407,20191121092348,708175,"Orla",2011-06-16,"100%","N/A",FALSE,NA,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",TRUE,FALSE,"Bristol, United Kingdom",NA,"Southville",NA,"Bristol",NA,"BS3","Bristol","Bristol, United Kingdom","GB","United Kingdom",51.44131,-2.60271,TRUE,"Townhouse","Private room",2,1,1,2,"Real Bed","{Wifi,Kitchen,""Free street parking"",Heating,Washer,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",NA,"$38.00","$290.00","$490.00",NA,NA,1,"$12.00",2,280,2,3,280,280,2.6,280,"4 months ago",TRUE,0,0,0,0,2019-11-21,69,12,2012-09-17,2019-08-29,90,10,8,10,10,10,10,FALSE,NA,NA,FALSE,FALSE,"moderate",FALSE,FALSE,2,0,2,0,0.79
"4",176306,20191121092348,708175,"Orla",2011-06-16,"100%","N/A",FALSE,NA,2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",TRUE,FALSE,"Bristol, United Kingdom",NA,"Bedminster",NA,"Bristol",NA,"BS3 3BN","Bristol","Bristol, United Kingdom","GB","United Kingdom",51.44101,-2.60121,TRUE,"Townhouse","Private room",2,1,1,1,"Real Bed","{Internet,Wifi,Kitchen,""Pets live on this property"",Cat(s),""Free street parking"",Heating,Washer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Garden or backyard"",""Host greets you""}",NA,"$35.00","$225.00","$460.00",NA,"$4.00",1,"$12.00",4,90,2,5,90,90,3.9,90,"3 months ago",TRUE,6,28,58,58,2019-11-21,36,6,2012-11-18,2019-08-11,94,9,9,10,10,9,9,FALSE,NA,NA,FALSE,FALSE,"strict_14_with_grace_period",FALSE,FALSE,2,0,2,0,0.42
"5",220956,20191121092348,1145941,"Stephen",2011-09-12,"100%","N/A",TRUE,NA,1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']",TRUE,TRUE,"Bristol, England, United Kingdom",NA,"Bedminster",NA,"Bristol","England","BS3","Bristol","Bristol, United Kingdom","GB","United Kingdom",51.43852,-2.60142,TRUE,"Apartment","Entire home/apt",2,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Pack ’n Play/travel crib"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",NA,"$59.00","$395.00","$1,195.00","$100.00","$25.00",2,"$10.00",2,90,2,4,90,90,2.6,90,"5 weeks ago",TRUE,12,25,25,25,2019-11-21,87,12,2011-10-07,2019-10-26,95,10,9,10,10,9,9,FALSE,NA,NA,FALSE,FALSE,"moderate",FALSE,FALSE,1,1,0,0,0.88
"6",307634,20191121092348,1582810,"Wendy",2012-01-08,"100%","N/A",TRUE,NA,2,2,"['email', 'phone', 'google', 'reviews', 'selfie']",TRUE,FALSE,"Bristol, United Kingdom",NA,"Easton",NA,"Bristol",NA,"BS5 6EH","Bristol","Bristol, United Kingdom","GB","United Kingdom",51.46641,-2.55533,TRUE,"Townhouse","Private room",2,1,1,1,"Real Bed","{Wifi,Kitchen,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""First aid kit"",Essentials,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Fireplace guards"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Refrigerator,""Host greets you""}",NA,"$28.00",NA,NA,"$0.00","$18.00",1,"$20.00",3,1125,3,3,1125,1125,3,1125,"5 weeks ago",TRUE,0,0,24,114,2019-11-21,18,4,2017-06-04,2019-06-03,94,10,10,10,10,10,9,FALSE,NA,NA,TRUE,FALSE,"strict_14_with_grace_period",FALSE,FALSE,2,0,2,0,0.6
"7",322906,20191121092348,1156132,"Sue And Toby",2011-09-14,"90%","N/A",TRUE,NA,2,2,"['email', 'phone', 'facebook', 'reviews']",TRUE,FALSE,"Bristol, United Kingdom",NA,"Ashley",NA,"Bristol",NA,"BS6 5LE","Bristol","Bristol, United Kingdom","GB","United Kingdom",51.46668,-2.58274,TRUE,"House","Private room",3,1,1,2,"Real Bed","{Internet,Wifi,""Free parking on premises"",Breakfast,""Pets live on this property"",Cat(s),""Indoor fireplace"",Heating,""Family/kid friendly"",""Smoke detector""}",NA,"$65.00",NA,NA,NA,NA,2,"$35.00",2,14,2,2,14,14,2,14,"2 months ago",TRUE,28,58,88,88,2019-11-21,80,0,2013-07-20,2018-09-30,94,9,9,10,10,9,9,FALSE,NA,NA,FALSE,FALSE,"strict_14_with_grace_period",FALSE,FALSE,2,0,2,0,1.04
"8",341227,20191121092348,237360,"Samantha",2010-09-17,"100%","N/A",FALSE,NA,4,4,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",TRUE,TRUE,"Bristol, United Kingdom",NA,"Ashley",NA,"Bristol",NA,"BS6 5QE","Bristol","Bristol, United Kingdom","GB","United Kingdom",51.46661,-2.58709,TRUE,"House","Entire home/apt",14,3,5,9,"Real Bed","{Internet,Wifi,Kitchen,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,Bathtub,""Children’s books and toys"",""Fireplace guards"",""Hot water"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Cleaning before checkout"",""Host greets you""}",NA,"$250.00","$2,800.00","$7,000.00","$300.00","$0.00",10,"$35.00",2,90,2,2,90,90,2,90,"2 months ago",TRUE,21,51,79,348,2019-11-21,64,25,2012-04-11,2019-09-22,98,10,9,10,10,9,9,FALSE,NA,NA,FALSE,FALSE,"strict_14_with_grace_period",TRUE,TRUE,1,1,0,0,0.69
"9",389942,20191121092348,1950884,"Sonia",2012-03-18,"100%","N/A",TRUE,NA,5,5,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",TRUE,TRUE,"Bristol, bristol, United Kingdom",NA,"Redland",NA,"Bristol","bristol","bs7 8py","Bristol","Bristol, United Kingdom","GB","United Kingdom",51.47926,-2.59108,FALSE,"House","Private room",1,1,1,1,"Futon","{TV,Internet,Wifi,Kitchen,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Children’s books and toys"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Garden or backyard"",""Luggage dropoff allowed""}",NA,"$50.00","$300.00",NA,NA,NA,1,"$15.00",1,1125,1,1,1125,1125,1,1125,"3 months ago",TRUE,0,0,0,0,2019-11-21,57,0,2012-03-27,2018-08-12,96,10,10,10,10,9,9,FALSE,NA,NA,TRUE,FALSE,"moderate",FALSE,FALSE,5,1,4,0,0.61
"10",389944,20191121092348,1950884,"Sonia",2012-03-18,"100%","N/A",TRUE,NA,5,5,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",TRUE,TRUE,"Bristol, bristol, United Kingdom",NA,"Redland",NA,"Bristol","bristol","bs7 8py","Bristol","Bristol, United Kingdom","GB","United Kingdom",51.47971,-2.59149,FALSE,"House","Private room",1,NA,1,1,"Futon","{Internet,Wifi,Kitchen,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Private living room"",Bathtub,""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Host greets you""}",NA,"$32.00","$250.00",NA,NA,NA,1,"$0.00",1,1125,1,1,1125,1125,1,1125,"3 months ago",TRUE,0,0,0,0,2019-11-21,104,4,2012-04-26,2019-08-05,93,10,10,10,10,10,9,FALSE,NA,NA,TRUE,FALSE,"moderate",FALSE,FALSE,5,1,4,0,1.13
